code_commune,prix_m2_median_tous,nb_transactions_tous,prix_m2_median_maison,nb_transactions_maison,prix_m2_median_appart,nb_transactions_appart,annee,nom_commune,code_departement
01248,3442.303370786517,20,3512.7118644067796,14.0,3080.7697893972404,6.0,2020,Mionnay,01
01249,3389.2215568862275,93,3689.3203883495135,47.0,3031.076923076923,46.0,2020,Miribel,01
01250,2976.086956521739,10,2976.086956521739,10.0,,,2020,Misérieux,01
01252,2477.2727272727275,12,2452.9220779220777,10.0,4785.714285714285,2.0,2020,Mogneneins,01
01254,2050.7649626698217,8,2050.7649626698217,8.0,,,2020,Montagnat,01
01257,2773.109243697479,6,2636.5546218487398,4.0,3514.4312393887944,2.0,2020,Montanges,01
01258,2939.044943820225,12,2939.044943820225,12.0,,,2020,Montceaux,01
01259,2581.5789473684213,5,2581.5789473684213,5.0,,,2020,Montcet,01
01261,3763.2850241545893,10,3711.1111111111113,8.0,4366.459627329193,2.0,2020,Monthieux,01
01262,2728.9156626506024,79,2974.814814814815,35.0,2672.2115384615386,44.0,2020,Montluel,01
01263,2537.019230769231,37,2564.544098143236,28.0,2127.906976744186,9.0,2020,Montmerle-sur-Saône,01
01264,1657.142857142857,11,1728.5714285714284,10.0,1145.8333333333333,1.0,2020,Montracol,01
01265,2033.0035714285714,12,2117.3785714285714,8.0,1366.5068542568542,4.0,2020,Montréal-la-Cluse,01
01266,2124.36974789916,42,1928.571428571429,27.0,2339.622641509434,15.0,2020,Montrevel-en-Bresse,01
01267,1400.0541125541126,6,1400.0541125541126,6.0,,,2020,Nurieux-Volognat,01
01269,6033.333333333333,44,829.0598290598291,5.0,6033.333333333333,39.0,2020,Nantua,01
01272,1809.5238095238096,15,2040.8163265306123,13.0,1589.2727272727273,2.0,2020,Neuville-les-Dames,01
01273,1916.822429906542,21,1926.8796834217396,18.0,1854.8387096774195,3.0,2020,Neuville-sur-Ain,01
01275,3808.787878787879,33,3950.0,27.0,2696.9903160040776,6.0,2020,Neyron,01
01276,2898.6666666666665,12,2420.1785714285716,8.0,2898.6666666666665,4.0,2020,Niévroz,01
01281,4624.3279569892475,54,4714.916177481622,18.0,4624.3279569892475,36.0,2020,Ornex,01
01283,1725.3115405454218,134,1881.011111111111,52.0,1480.8527131782944,82.0,2020,Oyonnax,01
01284,1706.6019417475727,6,1706.6019417475727,6.0,,,2020,Ozan,01
01285,3165.055555555556,15,3195.0277777777783,14.0,2201.6806722689075,1.0,2020,Parcieux,01
01286,2241.3793103448274,7,2241.3793103448274,7.0,,,2020,Parves et Nattages,01
01288,4050.4807692307695,40,3838.0109754270306,20.0,4257.35294117647,20.0,2020,Péron,01
01289,2057.2916666666665,53,2008.7719298245615,36.0,2181.4814814814813,17.0,2020,Péronnas,01
01290,2888.8888888888887,15,2888.8888888888887,6.0,2880.0,9.0,2020,Pérouges,01
01291,1545.8015267175572,6,1545.8015267175572,6.0,,,2020,Perrex,01
01294,1475.8220502901354,6,1475.8220502901354,6.0,,,2020,Peyrieu,01
01297,2330.530303030303,6,1805.0,5.0,3457.8313253012047,1.0,2020,Pizay,01
01299,2000.0,5,2332.2815533980583,4.0,1900.0,1.0,2020,Le Plantay,01
01301,2125.4610115911482,24,1941.176470588236,21.0,2210.6478873239435,3.0,2020,Polliat,01
01303,1602.2099447513813,11,1602.2099447513813,11.0,,,2020,Poncin,01
01304,1850.5263157894733,19,1865.739348370927,16.0,1637.9310344827586,3.0,2020,Pont-d'Ain,01
01305,1801.4520202020203,30,1644.8551448551448,12.0,2619.8198198198197,18.0,2020,Pont-de-Vaux,01
01306,2065.7894736842104,31,1738.1588235294116,8.0,2800.0,23.0,2020,Pont-de-Veyle,01
01313,4913.04347826087,91,4904.526315789473,41.0,4947.386363636364,50.0,2020,Prévessin-Moëns,01
01314,2083.333333333333,23,2125.0,18.0,1698.1132075471698,5.0,2020,Priay,01
01318,2261.9229053838803,8,2261.9229053838803,8.0,,,2020,Rancé,01
01319,2303.5714285714284,11,2303.5714285714284,11.0,,,2020,Relevant,01
01320,2188.8888888888887,49,2176.470588235294,43.0,4363.636363636364,6.0,2020,Replonges,01
01321,2384.6352968246665,10,2384.6352968246665,10.0,,,2020,Revonnas,01
01322,3099.6732026143795,54,3204.5023696682465,49.0,2103.448275862069,5.0,2020,Reyrieux,01
01323,1696.7065868263471,8,1696.7065868263471,8.0,,,2020,Reyssouze,01
01325,2530.0,7,2530.0,7.0,,,2020,Rignieux-le-Franc,01
01328,2383.838383838384,7,2263.3477633477632,6.0,3323.333333333333,1.0,2020,Romans,01
01332,2287.7235772357726,8,2287.7235772357726,8.0,,,2020,Saint-André-de-Bâgé,01
01333,3205.128205128205,9,3191.011235955056,7.0,3464.9122807017543,2.0,2020,Saint-André-de-Corcy,01
01334,2334.819892473118,6,2614.3217299578055,4.0,1704.3956043956046,2.0,2020,Saint-André-d'Huiriat,01
01336,1974.8987246811703,8,1974.8987246811703,8.0,,,2020,Saint-André-sur-Vieux-Jonc,01
