code_departement,prix_m2_median_tous,nb_transactions,prix_m2_median_maison,prix_m2_median_appart,annee
51,2371.0100482839625,10826,1949.3824727368283,3107.9192546583854,2022
52,1164.0883325460557,3108,1068.726145038168,1796.0515873015875,2022
53,1578.9473684210527,6662,1476.923076923077,2191.780821917808,2022
54,2119.765840220385,14784,1991.6666666666667,2278.472222222222,2022
55,1259.0,3533,1161.2903225806451,1740.1574803149606,2022
56,2645.0,18403,2400.0,3441.3674560733384,2022
58,1197.4421240084184,5418,1139.5348837209303,1487.5,2022
59,2355.371900826446,45954,2025.0,3442.622950819672,2022
60,2463.1924691859676,14280,2386.3636363636365,2786.88524590164,2022
61,1458.3333333333333,7087,1414.213564213564,1956.5217391304348,2022
62,1897.51312944084,24928,1764.7058823529412,3142.8571428571427,2022
63,2080.0,13829,1884.9890530925013,2330.0,2022
64,2767.454887218045,14666,2441.333333333333,3452.3809523809523,2022
65,1853.9473684210527,5943,1738.888888888889,2105.7418082524273,2022
66,2546.4,16122,2548.181818181818,2544.4444444444443,2022
69,4239.43661971831,33581,4152.892561983471,4269.446845289542,2022
70,1353.7414965986395,4447,1331.25,1453.1154239019406,2022
71,1617.6470588235295,12371,1584.7826086956522,1686.0,2022
72,1714.2857142857142,12811,1643.835616438356,2029.4181267575168,2022
73,3636.363636363637,12133,3295.5694444444443,3776.1194029850735,2022
74,4421.565517241379,21765,4536.803405572755,4378.723404255319,2022
75,10500.0,32756,11488.808139534884,10500.0,2022
76,2325.0,26864,2157.446808510638,2864.1975308641977,2022
77,3421.0526315789475,27459,3162.0789341377576,3775.862068965517,2022
78,4215.05376344086,23833,4074.279497098646,4336.923076923077,2022
79,1494.2528735632184,8867,1413.0434782608695,2425.0,2022
80,2000.0,11725,1727.3863636363635,3333.333333333333,2022
81,1918.560606060606,8428,1832.8269712140177,2373.9406779661017,2022
82,1989.4736842105265,6066,1979.4688252609044,2010.8111266947176,2022
83,4073.842105263158,37088,4197.530864197531,3942.0,2022
84,2928.2894736842104,12029,3076.923076923077,2618.234335839599,2022
85,2545.3336557059956,17328,2414.3170731707323,3457.9905992949475,2022
86,1689.6719353705655,9876,1520.490164720934,2481.6666666666665,2022
87,1694.915254237288,9020,1590.909090909091,1882.3529411764705,2022
88,1547.6190476190477,8454,1480.4695652173914,1704.5454545454545,2022
89,1534.2603844454266,7618,1468.1035831638242,1906.9767441860463,2022
90,1730.15873015873,2605,1809.9343185550083,1648.607594936709,2022
91,3555.555555555556,21006,3688.524590163935,3425.287356321839,2022
92,7260.0,25561,8333.333333333334,7142.857142857143,2022
93,4395.545454545455,20093,4320.987654320988,4430.033623417721,2022
94,5384.615384615385,19830,5666.666666666667,5317.460317460317,2022
95,3769.230769230769,18289,3931.2035158891144,3640.625,2022
971,3006.031746031746,2897,2784.8101265822784,3181.818181818182,2022
972,2970.2043010752686,2776,2745.786516853933,3061.6698292220117,2022
973,2753.205128205128,1182,2627.1186440677966,2929.1666666666665,2022
974,2833.2419354838707,7937,2794.1176470588234,2860.7692307692305,2022
01,2721.604938271605,9933,2601.010101010101,3050.5102040816328,2023
02,1394.2307692307693,7637,1319.5876288659797,2088.235294117647,2023
03,1381.6091954022988,7545,1276.297554347826,1694.214876033058,2023
04,2500.0,3900,2640.0,2352.9411764705883,2023
05,2861.538461538461,3651,2940.737489025461,2844.155844155844,2023
06,4876.543209876543,27924,5438.048245614035,4759.807692307692,2023
07,2181.818181818182,5603,2231.404958677686,2053.9124117891242,2023
08,1381.578947368421,4157,1317.6930596285436,1655.5555555555557,2023
09,1680.3333333333335,3316,1616.4383561643835,1866.6666666666667,2023
10,1706.0409237561555,4784,1626.5060240963855,1842.1052631578948,2023
11,2069.213483146068,9155,1870.967741935484,2560.8157991878925,2023
12,1777.7777777777778,5305,1609.090909090909,2033.3333333333333,2023
13,3856.521739130435,29685,4500.0,3555.555555555556,2023
14,2666.6666666666665,14779,2383.2251082251078,3365.625,2023
15,1425.0,2631,1385.0,1497.9761904761904,2023
16,1622.5146198830407,6812,1562.5,2200.0,2023
17,2927.927927927928,13973,2640.0934579439254,4190.476190476191,2023
18,1343.75,5951,1275.0,1774.9648382559776,2023
19,1571.428571428571,4893,1541.4358974358975,1682.9268292682927,2023
21,2441.860465116279,9137,2116.252427184466,2711.111111111112,2023
22,2059.53667953668,13404,1977.6119402985075,2521.4826839826837,2023
23,1032.1663533834585,2694,985.2421652421651,1490.7407407407406,2023
24,1828.571428571429,10204,1812.5,2000.0,2023
25,2187.5,8490,2079.285714285714,2276.8786360698123,2023
26,2500.0,8341,2636.8343004513217,2215.3846153846152,2023
27,2084.8214285714284,10689,2064.516129032258,2320.9706959706964,2023
28,2012.5786163522007,7201,1935.0806451612902,2416.6666666666665,2023
29,2268.84,16821,2245.8823529411766,2326.308784383318,2023
2A,4267.394636015326,2234,4906.25,3970.5882352941176,2023
2B,3307.5961538461543,2460,3333.333333333333,3278.688524590164,2023
30,2702.4590163934427,13585,2735.445895823254,2644.0677966101694,2023
31,2946.6006600660066,21138,2854.1666666666665,3050.8571428571427,2023
32,1740.0,3515,1693.8417318982388,1887.5,2023
33,3602.941176470588,25827,3264.367816091954,3993.3459595959603,2023
34,3381.818181818182,24797,3135.135135135135,3557.4175824175827,2023
35,2815.3010033444816,16714,2416.6666666666665,3507.9445145018917,2023
36,1190.8396946564883,4255,1144.859813084112,1540.5747126436781,2023
37,2500.0,10454,2272.7272727272725,3020.0,2023
38,2852.402745995423,18872,2905.8277027027025,2800.0,2023
39,1822.429906542056,4495,1750.0,1983.11484753491,2023
40,2810.8695652173915,7910,2629.032258064516,3350.285714285714,2023
41,1678.571428571429,6305,1619.7033898305085,1989.4034378159758,2023
42,1879.0491118077325,13384,2163.716814159292,1600.0,2023
43,1683.2466584158415,3890,1612.5,1870.967741935484,2023
44,3283.582089552239,22562,3057.307060755337,3615.3846153846152,2023
45,2039.4736842105265,11447,1908.0,2548.3870967741937,2023
